date,home_team,away_team,elo_home_pre,elo_away_pre,neutral,home_score,away_score,tournament
1872-11-30,Scotland,England,1500.0,1500.0,False,0,0,Friendly
1873-03-08,England,Scotland,1502.8012999960577,1497.1987000039423,False,4,2,Friendly
1874-03-07,Scotland,England,1486.6225308642745,1513.3774691357255,False,2,1,Friendly
1875-03-06,England,Scotland,1505.4549455176289,1494.5450544823711,False,2,2,Friendly
1876-03-04,Scotland,England,1497.633108335869,1502.366891664131,False,3,0,Friendly
1876-03-25,Scotland,Wales,1510.4513868995473,1500.0,False,4,0,Friendly
1877-03-03,England,Scotland,1489.5486131004527,1523.4336794470626,False,1,3,Friendly
1877-03-05,Wales,Scotland,1487.0177074524847,1541.254127950709,False,0,2,Friendly
1878-03-02,Scotland,England,1558.2185529062872,1471.7281645968062,False,7,2,Friendly
1878-03-23,Scotland,Wales,1568.4078853249753,1470.0532824969066,False,9,0,Friendly
1879-01-18,England,Wales,1461.5388321781181,1457.9539723818286,False,2,1,Friendly
1879-04-05,England,Scotland,1468.6427258843123,1580.5071954400532,False,5,4,Friendly
1879-04-07,Wales,Scotland,1450.8500786756344,1570.1658412336733,False,0,3,Friendly
1880-03-13,Scotland,England,1586.6939257802123,1478.9840800906923,False,5,4,Friendly
1880-03-15,Wales,England,1434.3219941290954,1474.3391664073167,False,2,3,Friendly
1880-03-27,Scotland,Wales,1591.3388394635879,1422.6125003654636,False,5,1,Friendly
1881-02-26,England,Wales,1486.0486601709486,1416.0300296823991,False,0,1,Friendly
1881-03-12,England,Scotland,1471.5116328670836,1597.9213101466523,False,1,6,Friendly
1881-03-14,Wales,Scotland,1430.567056986264,1616.403968192165,False,1,5,Friendly
1882-02-18,Northern Ireland,England,1500.0,1453.028974821571,False,0,13,Friendly
1882-02-25,Wales,Northern Ireland,1416.357399749539,1458.0159383821356,False,7,1,Friendly
1882-03-11,Scotland,England,1630.6136254288901,1495.0130364394354,False,5,1,Friendly
1882-03-13,Wales,England,1434.0722597137433,1487.3309979703267,False,5,3,Friendly
1882-03-25,Scotland,Wales,1638.2956638979988,1447.0663641559952,False,5,0,Friendly
1883-02-03,England,Wales,1474.3368935280748,1440.763722604555,False,5,0,Friendly
1883-02-24,England,Northern Ireland,1487.0055000455147,1440.3010784179312,False,7,0,Friendly
1883-03-10,England,Scotland,1500.5319684644135,1644.598305449439,False,2,3,Friendly
1883-03-12,Wales,Scotland,1428.095116087115,1653.3367318985315,False,0,3,Friendly
1883-03-17,Northern Ireland,Wales,1426.7746099990325,1416.6436722976543,False,1,1,Friendly
1884-01-26,Northern Ireland,Scotland,1423.706852246673,1664.7881756879922,False,0,5,British Home Championship
1884-02-09,Wales,Northern Ireland,1419.7114300500139,1405.2606368482154,False,6,0,British Home Championship
1884-02-23,Northern Ireland,England,1383.5217531672,1491.793542015321,False,1,8,British Home Championship
1884-03-15,Scotland,England,1683.2343910864497,1524.7401696790741,False,1,0,British Home Championship
1884-03-17,Wales,England,1441.4503137310294,1519.2135621809296,False,0,4,British Home Championship
1884-03-29,Scotland,Wales,1688.7609985845943,1411.5276968434734,False,4,1,British Home Championship
1885-02-28,England,Northern Ireland,1549.1361790684855,1350.5751255034468,False,4,0,British Home Championship
1885-03-14,England,Wales,1557.6886773970928,1406.15503334017,False,1,1,British Home Championship
1885-03-14,Scotland,Northern Ireland,1694.1336620878978,1342.0226271748395,False,8,2,British Home Championship
1885-03-21,England,Scotland,1548.3982228183231,1698.5307433644653,False,1,1,British Home Championship
1885-03-23,Wales,Scotland,1415.4454879189395,1696.3812456517749,False,1,8,British Home Championship
1885-04-11,Northern Ireland,Wales,1337.625545898272,1397.8380426208703,False,2,8,British Home Championship
1885-11-28,United States,Canada,1500.0,1500.0,False,0,1,Friendly
1886-02-27,Wales,Northern Ireland,1433.347418844986,1302.1161696741565,False,5,0,British Home Championship
1886-03-13,Northern Ireland,England,1289.577264242242,1550.5477205310135,False,1,6,British Home Championship
1886-03-20,Northern Ireland,Scotland,1272.560612752085,1713.988690949844,False,2,7,British Home Championship
1886-03-27,Scotland,England,1721.361604351286,1567.5643720211706,False,1,1,British Home Championship
1886-03-29,Wales,England,1445.8863242769003,1576.9148214508746,False,1,3,British Home Championship
1886-04-10,Scotland,Wales,1712.011154921582,1425.3904109206132,False,4,1,British Home Championship
1886-11-25,United States,Canada,1487.1987000039423,1512.8012999960577,False,3,2,Friendly
